Date,Open,High,Low,Close
19-Aug-20,14976.42,15007.22,14934.56,14952.69
18-Aug-20,14748.59,14913.82,14741.59,14898.98
17-Aug-20,14711.92,14739.92,14589.05,14721.97
14-Aug-20,14834.35,14873.7,14545.95,14634.87
13-Aug-20,14796.02,14831.81,14739.62,14783.16
12-Aug-20,14740.59,14761.63,14658.05,14746.4
11-Aug-20,14792.89,14843.03,14745.83,14757.56
10-Aug-20,14685.31,14780.37,14674.35,14717.74
07-Aug-20,14565.39,14628.4,14519.35,14608.94
06-Aug-20,14526.2,14616.56,14478.06,14563.83
05-Aug-20,14489.84,14573.54,14392.05,14435.26
04-Aug-20,14249.08,14428.45,14214.02,14412.79
03-Aug-20,14353.01,14353.19,14174.24,14182.52
31-Jul-20,14378.15,14411.5,14283.37,14346.18
30-Jul-20,14493.65,14548.71,14313.01,14337.81
29-Jul-20,14507.3,14571.36,14376.96,14437.31
28-Jul-20,14365.97,14523.76,14358.85,14507.46
27-Jul-20,14462.93,14462.93,14273.96,14320.59
24-Jul-20,14403.53,14449.6,14298.46,14415.85
23-Jul-20,14352.1,14483.15,14332.13,14460.66
22-Jul-20,14468.82,14475.41,14264.09,14357.18
21-Jul-20,14389.24,14422.84,14360.52,14392.44
20-Jul-20,14232.6,14271.26,14182.12,14255.13
17-Jul-20,13941.18,14142.8,13931.5,14114.28
16-Jul-20,13884.69,13918.98,13724.65,13905.49
15-Jul-20,13879.79,14027.45,13734.33,13780.21
14-Jul-20,13961.48,13961.48,13723.26,13780.46
13-Jul-20,14068.95,14107.8,13943.99,14002.65
10-Jul-20,13978.48,14048.65,13902.28,13968.64
09-Jul-20,13972.13,14049.7,13957.8,14027.41
08-Jul-20,14060.56,14094.33,13884.44,13916.81
07-Jul-20,14027.34,14041.76,13886.95,14023.84
06-Jul-20,13894.83,14011.68,13882.29,13967.84
03-Jul-20,13791.9,13822.78,13742.93,13798.56
02-Jul-20,13636.17,13765.06,13633.64,13721.36
01-Jul-20,13472.23,13588.8,13431.2,13569.42
30-Jun-20,13543.92,13577.48,13403.01,13438.14
29-Jun-20,13506.58,13517.9,13371.82,13466.13
26-Jun-20,13590.19,13632.81,13509.11,13577.1
25-Jun-20,13356.23,13544.01,13338.33,13479.59
24-Jun-20,13765.92,13790.81,13440.45,13469.62
23-Jun-20,13507.65,13681.47,13460.14,13668.2
22-Jun-20,13408.6,13540.56,13398.71,13457.04
19-Jun-20,13197.24,13356.85,13139.22,13330.72
18-Jun-20,12884.11,13158.38,12883.73,13139.68
17-Jun-20,12877.87,13044.01,12845.67,12916.41
